,method,dataset,num_clusters,buffer,mae,acc,bc_coefficient,theta
0,heuristic-theta,poultry_barns,16,100,0.163,0.924,0.0841196348685718,1.2136880000000005
1,heuristic-theta,poultry_barns,64,200,0.154,0.936,0.07100009492028429,1.931519999999999
2,heuristic-theta,poultry_barns,32,200,0.17,0.93,0.08044289504170049,1.756255999999999
3,heuristic-theta,poultry_barns,32,400,0.236,0.897,0.09350519180630164,2.2306919999999995
4,heuristic-theta,poultry_barns,64,400,0.204,0.922,0.0720659970549971,2.401979999999998
5,heuristic-theta,poultry_barns,64,100,0.172,0.933,0.08363152320935774,1.5137799999999997
6,heuristic-theta,poultry_barns,32,100,0.172,0.928,0.07975190000865506,1.3723
7,heuristic-theta,poultry_barns,16,200,0.218,0.903,0.09181922389553562,1.5709919999999984
8,heuristic-theta,poultry_barns,16,400,0.385,0.829,0.1127769878022964,1.9538699999999993
9,heuristic-theta,solar_farms_reduced,32,0.016,0.4986842105263158,0.6894736842105263,0.5203330780923132,2.4132439999999997
10,heuristic-theta,solar_farms_reduced,64,0.016,0.5184210526315789,0.6881578947368421,0.5261627623928011,2.763796
11,heuristic-theta,solar_farms_reduced,16,0.016,0.6263157894736842,0.6276315789473684,0.5577883784350387,2.1091679999999995
12,heuristic-theta,solar_farms_reduced,64,0.024,0.4868421052631579,0.7078947368421052,0.502969885699625,2.8618060000000005
13,heuristic-theta,solar_farms_reduced,16,0.024,0.7473684210526316,0.5657894736842105,0.6035269451537504,2.143412
14,heuristic-theta,solar_farms_reduced,32,0.024,0.5447368421052632,0.6644736842105263,0.5232647746460067,2.528604000000001
